Generacion: 1
N		 inicial		x^2		seleccion		cruza		mutacion		
17		00111			49			00111			00111			00111
18		10111			529			11111			11111			11111
19		11111			961			11111			11111			11111
20		11111			961			11111			11111			11111
21		10111			529			11111			11111			11111
22		00111			49			11111			11111			11111
23		00111			49			11111			11111			11111
24		11111			961			01111			01111			01111
25		11111			961			11111			11111			11111
26		11111			961			11111			11111			11111
27		00111			49			11111			11111			11111
28		11111			961			11111			11111			11111
29		11111			961			11111			11111			11111
30		11111			961			00111			00111			00111
31		11111			961			11111			11111			11111
32		10111			529			00111			00111			00111
Generacion: 12
N		 inicial		x^2		seleccion		cruza		mutacion		
1		11111			961			11111			11111			11111
2		00111			49			11111			11111			11111
3		11111			961			11111			11111			11111
4		11111			961			11111			11111			11111
5		11111			961			10111			10111			10111
6		00111			49			11111			11111			11111
7		11111			961			11111			11111			11111
8		10111			529			11111			11111			11111
9		11111			961			01111			01111			01111
10		11111			961			11111			11111			11111
11		11111			961			11111			11111			11111
12		01111			225			11111			11111			11111
13		11111			961			11111			11111			11111
14		11111			961			10111			10111			10111
15		10111			529			11111			11111			11111
16		11111			961			11111			11111			11111
17		00111			49			11111			11111			11111
18		11111			961			01111			01111			01111
19		11111			961			00111			00111			00111
20		11111			961			11111			11111			11111
21		11111			961			01111			01111			01111
22		11111			961			00111			00111			01111
23		11111			961			01111			01111			01111
24		01111			225			11111			11111			11111
25		11111			961			00111			00111			00111
26		11111			961			01111			01111			01111
27		11111			961			11111			11111			11111
28		11111			961			11111			11111			11111
29		11111			961			11111			11111			11111
30		00111			49			11111			11111			11111
31		11111			961			11111			11111			11111
32		00111			49			11111			11111			11111
Generacion: 13
N		 inicial		x^2		seleccion		cruza		mutacion		
1		11111			961			11111			11111			11111
2		11111			961			11111			11111			11111
3		11111			961			11111			11111			11111
4		11111			961			11111			11111			11111
5		10111			529			11111			11111			11111
6		11111			961			11111			11111			11111
7		11111			961			11111			11111			11111
8		11111			961			11111			11111			11111
9		01111			225			11111			11111			11111
10		11111			961			11111			11111			11111
11		11111			961			11111			11111			11111
12		11111			961			11111			11111			11111
13		11111			961			10111			10111			10111
14		10111			529			11111			11111			11111
15		11111			961			01111			01111			01111
16		11111			961			00111			00111			00111
17		11111			961			00111			00111			00111
18		01111			225			11111			11111			11111
19		00111			49			11111			11111			11111
20		11111			961			11111			11111			11111
21		01111			225			00111			00111			00111
22		01111			225			11111			11111			11111
23		01111			225			10111			10111			10111
24		11111			961			11111			11111			11111
25		00111			49			01111			01111			01111
26		01111			225			11111			11111			11111
27		11111			961			11111			11111			11111
28		11111			961			01111			01111			01111
29		11111			961			11111			11111			11111
30		11111			961			11111			11111			11111
31		11111			961			00111			00111			00111
32		11111			961			11111			11111			11111
Generacion: 14
N		 inicial		x^2		seleccion		cruza		mutacion		
1		11111			961			11111			11111			11111
2		11111			961			11111			11111			11111
3		11111			961			11111			11111			11111
4		11111			961			11111			11111			11111
5		11111			961			01111			01111			01111
6		11111			961			00111			00111			00111
7		11111			961			10111			10111			10111
8		11111			961			10111			10111			10111
9		11111			961			11111			11111			11111
10		11111			961			01111			01111			11111
11		11111			961			10111			10111			11111
12		11111			961			11111			11111			11111
13		10111			529			11111			11111			11111
14		11111			961			11111			11111			11111
15		01111			225			11111			11111			11111
16		00111			49			00111			00111			01111
17		00111			49			11111			11111			11111
18		11111			961			10111			10111			10111
19		11111			961			11111			11111			11111
20		11111			961			01111			01111			01111
21		00111			49			11111			11111			11111
22		11111			961			00111			00111			00111
23		10111			529			01111			01111			01111
24		11111			961			11111			11111			11111
25		01111			225			01111			01111			01111
26		11111			961			11111			11111			11111
27		11111			961			01111			01111			01111
28		01111			225			11111			11111			11111
29		11111			961			11111			11111			11111
30		11111			961			11111			11111			11111
31		00111			49			00111			00111			00111
32		11111			961			11111			11111			11111
Generacion: 15
N		 inicial		x^2		seleccion		cruza		mutacion		
1		11111			961			11111			11111			11111
2		11111			961			11111			11111			11111
3		11111			961			11111			11111			11111
4		11111			961			11111			11111			11111
5		01111			225			00111			00111			00111
6		00111			49			11111			11111			11111
7		10111			529			11111			11111			11111
8		10111			529			11111			11111			11111
9		11111			961			01111			01111			01111
10		11111			961			10111			10111			10111
11		11111			961			11111			11111			11111
12		11111			961			00111			00111			00111
13		11111			961			11111			11111			11111
14		11111			961			01111			01111			01111
15		11111			961			11111			11111			11111
16		01111			225			11111			11111			11111
17		11111			961			11111			11111			11111
18		10111			529			11111			11111			11111
19		11111			961			11111			11111			11111
20		01111			225			10111			10111			10111
21		11111			961			11111			11111			11111
22		00111			49			00111			00111			01111
23		01111			225			11111			11111			11111
24		11111			961			00111			00111			00111
25		01111			225			11111			11111			11111
26		11111			961			00111			00111			00111
27		01111			225			11111			11111			11111
28		11111			961			11111			11111			11111
29		11111			961			11111			11111			11111
30		11111			961			11111			11111			11111
31		00111			49			01111			01111			01111
32		11111			961			11111			11111			11111
